"NAME"
"Accountancy"
"Adult Education"
"Africa Regional Centre For Information Science"
"Agric Bioresources Engineering"
"Agric. Economics"
"Agric. Extension"
"Agricultural Sciences"
"Agriculture"
"Agriculture And Forestry"
"Anatomy"
"Animal Health And Production"
"Animal Science"
"Archaeology And Tourism"
"Architecture"
"Arts"
"Arts Education"
"Banking And Finance"
"Biochemistry"
"Biological Sciences"
"Business Administration"
"Chemical Pathology"
"Child Dental Health"
"Civil Engineering"
"Cliinical Sciences"
"Clinical Pharmacy"
"College Of Medicine"
"Community Medicine"
"Computer Education"
"Computer Science"
"Computing"
"Dentistry"
"Dermatology"
"Economics"
"Education"
"Education Foundation"
"Electrical Engineering"
"Electronic Engineering"
"Engineering"
"English And Literary Studies"
"Environmental Studies"
"Fine And Applied Arts"
"Foreign Languages"
"Geography"
"Geology"
"Haematology And Immunology"
"Health And Physical Education"
"Health Science And Technology"
"Health Sciences"
"History And International Studies"
"Home Economics"
"Humanities"
"International Law And Jurisprudence"
"Law"
"Library Sciences Education"
"Linguistics And Nigerian Languages"
"Management"
"Management Scieneces"
"Marketing"
"Mass Communication"
"Materials And Metallurgical Engineering"
"Mathematics"
"Mechanical Engineering"
"Medical Biochemistry"
"Medical Laboratory Technology"
"Medical Microbiology"
"Medical Rehabilitation"
"Medical Sciences"
"Microbiology"
"Morbid Anatomy"
"Music"
"Nursing Sciences"
"Obstetrics And Gaenecology"
"Ophthalmology"
"Oral Maxillofacial Surgery"
"Otolaringology"
"Paediatric Surgery"
"Paediatrics"
"Performing Arts"
"Pharmaceutical And Medicinal Chemistry"
"Pharmaceutical Sciences"
"Pharmaceutical Technology"
"Pharmaceutics"
"Pharmacognosy"
"Pharmacognosy And Environmental Medicines"
"Pharmacology And Therapeutics"
"Pharmacology And Toxicology"
"Philosophy"
"Physical Sciences"
"Physics And Astronomy"
"Physiological Medicine"
"Plant Sciences"
"Preventive Dentistry"
"Property Law"
"Psychology"
"Public And Private Law"
"Public Administration"
"Pure And Industrial Chemistry"
"Radiation Medicine"
"Religious And Cultural Studies"
"Restorative Dentistry"
"Science Education"
"Science Laboratory Technology"
"Social Science Education"
"Social Sciences"
"Social Work"
"Sociology And Anthropology"
"Soil Science"
"Statistics"
"Surgery"
"Surveying And Geodesy"
"Technology"
"Urban And Regional Planning"
"Veterinary Anatomy"
"Veterinary Medicine"
"Veterinary Obstetrics And Reproductive Diseases"
"Veterinary Parasitology And Entomology"
"Veterinary Pathology And Microbiology"
"Veterinary Physiology And Pharmacology"
"Veterinary Public Health And Preventive Medicine"
"Veterinary Surgery"
"Veterinary Teaching Hospital"
"Vocational Teacher Education"
"Zoology"
